2149287415960.9666,-27121888486.201225,-458260442781.43585,287228412872.4619,106807620926.36282,429505215768.7397,-562636441636.1143,-166695527092.85144,296597982556.6263,482185356570.8519,-396698496116.2668,38801248476.37417,-194878341006.71777,-399976861506.16943,683590964587.3185,-181520326573.98978,199659194768.12952,342459125973.52356,-675171598821.7877,1111526189387.9148,-208684584826.8551,458343843365.1176,746293129943.34,-333142445860.6949,248053018175.28464,-724562959704.2523,420204135164.3839,284109239075.06305,-526210794492.6199,-43519726069.88951,1080401520477.8782,-631039215340.6433,-77322747811.54224,-168496965731.35425,280035041280.8695,-369075198793.5112,106054469123.8597,139092531249.8666,829892624309.1083,-180676486843.7779,242865831728.27277,557062261382.7067,200385034232.21478,417829732088.5462,322245309657.3258,230909700604.59235,547951671439.2944,635653547036.3585,353472544625.5529,-147620926324.55487,406305390791.47437,1178534292413.4226,825772944518.0355,411594234465.2741,-391394915130.0572,-703453490992.3352,-581453537010.569,393528160732.44104,173146721389.51938,3921708447.7556305
-551207758682.652,26434619250.68844,-918614148399.5975,25433740372.457844,353407662821.6462,-385550146424.1027,-166046211149.87527,865751008622.8413,-315520943195.43585,-33685370563.16646,383015287347.80536,-390283904505.3341,-878542943364.9844,680124967632.4058,-108604675244.58356,-551296936628.5935,998597207399.2264,-838071326670.8326,869178541786.2485,-446283306690.21246,-1257011265299.773,1527092747421.064,-235306788764.27267,-731684268547.8578,256962049851.31558,-1425496965567.061,751451472751.6869,-655704579251.093,935787287538.4336,-470942724318.0815,468599205956.4358,-278054414799.47516,-232055137760.38058,-632720247829.2389,457956875239.667,18382354872.872284,-96948363452.28716,139890948690.63263,494815290057.2287,213517913882.2869,-575490830992.558,-828894359190.5404,247259165574.05356,-62923842419.43377,-722049663960.2068,-1324586714738.4136,-1078117435494.4053,-492739885962.21814,-663542236986.0359,-355411810828.1192,9054363725.789139,-125161651940.64172,-20135690915.155193,-177700426872.39825,400366338510.55365,1387449275574.1233,776985303753.978,865430162638.9109,1307036471940.1572,994610630193.0698
515674294693.56714,-477462311425.40173,-178979597478.6634,428082053863.47986,362747211135.0093,-233576275709.90115,-326861038428.2424,-113456265307.76524,340373562595.986,-18501736395.586124,-310196021045.4896,526293882961.2607,-293273455477.7196,-53377451471.06528,156290564250.40024,151859286853.50037,-268147349866.29987,592489876366.9949,363547911515.0052,-658917825457.7783,474000160567.0559,-421451045949.82666,-362623822710.3244,182052968257.22742,650277353638.0841,-1309575991177.152,1015030511781.9177,-530845281994.28064,566322956234.2682,-346762793289.73804,-388679385347.0252,43555144510.97013,-94232677250.69672,110274211024.0555,-145075107402.07385,-60694608738.235725,-17156814871.14569,-386504218882.65533,-362049322891.69684,-138984873307.5184,-297904483897.5162,-711549563222.4445,-438812296623.13153,77789487255.76175,871195118321.7533,327481562143.18646,-680725484372.9487,-232510603788.67944,210607954508.48947,-228896295365.4486,-629022149101.3057,-548104688112.2916,-62670046013.35336,-459661926407.0557,189128213309.45422,611093404625.5706,915927866184.1531,453559808953.4251,2051146297182.37,3290803806126.5283
-1238637695896.178,-165361540276.11707,935839962162.9493,68723689249.41753,-137466411497.61282,695203631541.106,-1279430667381.128,-2966198857.0751038,470303426454.113,218128776485.33603,-311059164942.2633,1090990970316.2589,-1099213855516.5553,-386924322610.0347,198327252963.51312,-247899191879.89948,350784122907.255,587337603876.2672,-802872680359.7115,762628413431.9501,-184805418841.6664,-905382901881.9668,1627897550649.9143,-1513745592332.8152,1286679771483.2373,462023346055.551,17166670987.574623,1025823593955.0033,-540022051582.8432,1098447142914.6477,-1479595431980.792,487201421669.0813,-457321162980.99756,1615944928895.5369,355064740875.37274,860710883385.9879,766366457735.3204,-118182815222.93137,61795789037.73076,-196120182719.33447,761332414686.5848,-231904461741.85126,530459255255.5279,352452278931.5019,26033295752.081287,658626006871.4987,-346398795158.9957,-642859253967.9119,-1020889797722.9033,-389316241764.3939,817400806206.2675,217748369455.55185,34451262293.31811,539790856857.2247,-495834698981.4679,-37448647025.56386,294933322614.2142,974350424881.3347,778851692776.3127,1233088055467.753
1205798709229.098,854364445248.5472,-310323519600.83984,-290776730969.0781,437014526468.2484,561731738960.7743,-957749455494.7643,339457760002.13513,338407206182.7054,-736090450646.7257,3146942432.6104126,827065121371.8981,-430184638460.18365,-175799432696.42184,62883165107.34574,-224317711814.7224,6320385316.318259,474335354959.11163,-489648206283.39825,1345020178409.6907,-496751605071.008,-100716607001.19725,596389459509.9197,-313030095207.84393,140523921485.06836,478367836121.55524,275693498037.8861,-152182889349.84012,689054927071.9869,-747962978135.2302,330715756614.21826,-377212229436.85364,-277781021750.1391,-47539497856.43864,-192448782085.77185,465773824389.7771,671341376781.1547,-541184616023.913,-63702806377.14282,-318100720917.4865,238422574170.1375,-24730517875.22497,266500219468.66278,434794317097.22046,-1134972066.8573837,322959816292.0078,-162303611055.85538,-1331971059724.6711,-856430405159.2164,-262496723206.08728,-354220886808.38354,136460969870.93057,87193782848.76552,313672358749.741,579872333094.375,-80367255760.08064,-863814335304.3896,499884626076.60736,1358093711442.622,-132374301260.60367
2104869230059.8777,-1707360077246.713,-554638121464.7466,1284905132902.0657,-517869279526.32104,334295476309.3495,-125450170948.42517,5310210545.006828,-930802172919.8728,963627642683.205,-40125778278.287,-328828076600.34595,-221001775212.63516,-26296364144.28968,150385278139.30963,-794285552042.29,292901760470.85986,-66683965305.97582,-306855964155.8087,1632125684290.3628,-449185518122.57007,218340278819.18942,376295427280.3266,-285546674554.91315,-496426422947.56354,905360312850.8173,-651142331596.5548,401515384294.4051,444708337085.47437,-350276167297.8968,-348104896975.0535,283455702231.1187,88533964425.54886,170388296185.46585,268449984275.55933,72402012448.98138,1052391118608.5537,-192332737983.98248,-495214887830.02637,-394825384118.08057,-179718654222.0351,-360509514506.7946,-175638254993.3545,61807012469.863785,232927217519.88702,-408373845837.70087,-525586656815.41974,-1203888004438.5513,-271788935797.96625,34364187814.18738,-48577494280.24257,-457657319550.3391,87154481445.97638,396572834015.1695,-676262440444.6893,-679269774476.4753,40069250019.01407,1350579929472.937,2847041858596.401,1142533642591.7783
502035722709.25836,-1118376815759.4114,2130095499653.6714,-1176876789887.6282,39859647759.48761,120911094533.70212,390947308929.4201,-478823558129.8074,-223511201208.64578,314247656133.745,-392193645808.5355,1171137727773.7783,-533717431826.7094,-422150420874.09503,1015830822471.7312,-1251079641696.6042,1541321923176.674,-2381464874721.698,1400733623516.3289,-474209161818.94946,1227208522891.4365,-492358602915.7501,396351292449.47,-356087586876.3391,541961301580.4887,1328352750706.1106,-1256037907330.5317,1249823161844.9578,607640443894.2224,-53066061960.2184,337265909138.2399,-774707382510.147,558546093189.0146,-127505134321.78157,362619464871.1168,-700842298641.8708,1317843257643.86,343197891491.1146,259022352624.5285,-662724592731.1145,170528569095.78867,-232386150897.7653,597407315663.1359,-671429638731.6945,-458439138678.8455,-783008596527.8583,-195057045623.7913,-135107187960.47821,-119309608748.98776,-479176258875.0702,-364377076479.18713,336481600754.22046,401492868221.5,778480640616.8619,1287002711706.0195,641586842237.5767,202278651592.85913,-184136764653.71854,228338648319.31192,675226680157.5708
1462895096469.4312,-343740723900.611,31673382351.084152,127701382873.6733,-393682407751.5962,-137063496296.11047,510657115485.0579,237515062504.02277,-572492508925.3345,247946232258.3377,-372119834148.86456,880881960362.6461,15920303633.424236,-216707672647.02335,-513508891500.4257,635168644228.147,100570386062.08551,-1028214736105.0518,1323059048471.534,-1134836915713.5889,939613226408.5433,-199879714044.63455,599251146314.4198,-2056623908540.6218,1149768734476.657,-100778519019.62064,-583748327457.9373,956025326931.3707,501046528864.26575,413337825123.9862,-271250457281.0524,28822080431.242542,-420137570240.0828,581612643003.7372,255175806513.82922,49379112815.054245,324787211997.56995,164409312917.97974,547984178894.23694,-458162980337.31213,1179021259572.5432,-287653471949.83954,477387771669.0455,-132026754621.47192,-386619057684.076,-371948660836.3859,-588595781015.7899,-1058929843045.431,-362692116962.51495,-108713867072.30801,-166014253848.8459,-833664695944.037,-1178661088490.391,-204997104052.5212,461790394717.50836,593804016097.8767,-1428617462211.0662,-89827496702.85078,1210133155758.3022,-220470128194.47903
-40325788025.19568,-865405509997.5667,1189877855841.6787,-707093576429.0352,-371999430264.7477,-27004400747.088043,-243104110515.56235,1123207934554.2258,-515668386885.05176,-232460983528.47388,-151526846981.9708,1133421939671.5767,91577247323.3087,-157837885487.70026,-1055778341191.3643,911722672931.3159,-579225921212.7026,817197174975.9128,-246240895497.16446,-2018654817208.613,1043136828855.6528,559490660923.4175,-882520436223.213,-307534405111.9497,-2040009804588.0864,1742962901636.4282,-2941587692594.418,-136340453792.50436,2325623241267.9033,-1779986433453.8691,917041171095.0879,-1480649744033.107,-5924848017.046234,1595639390035.1104,-685022828306.3257,-410806360574.87885,1769358748588.6172,2060304868141.0618,1910297476003.4353,-1371949439575.3577,225568232541.6698,-629387025592.3384,-426370985032.1598,640083072491.2015,276560487482.2562,807463991377.6671,-228675855604.57153,-488734556722.7567,-168212026886.95932,-784592864331.9426,-397327852704.0061,44833338686.04411,-480649900958.166,-1801855701753.491,-1026575280008.5656,279901583860.36444,-1285790231478.0251,-1560116404518.1313,-770147086213.0287,536942224093.48816
-254307080491.19388,846682039857.9661,-254812699689.59796,749765743145.3727,-1208404932245.003,-445780992747.9586,550722182556.997,77121289754.45407,41854481867.20267,-705556532919.2473,744755722210.8442,1007662177666.8186,-532707967318.2309,154217966668.33337,-1180563305114.9907,415995648139.4054,-153315770678.65363,856930503982.6635,-774074702039.6292,96905943594.42358,606001386805.4626,418584761837.81274,-339122902168.517,-115658789235.9556,-826018832129.1537,855540934706.2269,-150498958699.76788,-1596497574144.6309,4588628441512.827,613246334564.9296,-484734677798.958,-1506540563837.2244,-48068658712.43788,292521951212.73474,-17267908244.679497,-927592028557.0206,-504617632753.74756,3572778477080.2417,3677776964924.7217,2550909509887.121,-1720045157467.332,-542328889342.23834,-393868834182.06537,173291368741.43112,-294937818202.2928,-161535767631.461,314509957445.4712,277073706903.95166,1260886682624.9275,1170615718898.457,268596559426.86874,-608972177393.9281,-930772098232.9121,-3333209126126.279,-4166452689902.806,-506309452109.82263,-30676213059.56453,101175672738.4043,-788183050527.0422,-1057895227682.3231
-1409389314394.6191,-107858034085.69894,957943882041.457,-1464288786064.5056,89089509300.90309,-120163371884.416,210442157238.77988,-260444893563.37262,90142476714.17801,-333365996865.01245,366095786571.40607,598595589234.2744,-316319624551.47156,-156205011139.03302,-427605241241.0488,-188764529454.26688,205107829130.62808,-105032953605.40718,-821810409503.267,448111833557.75494,91699099253.29355,203188868172.2981,700827382644.3403,-455607482931.53156,-366910013371.8932,1440684609351.3718,-1676620182333.7898,2000203259679.908,-3135441754760.4546,6852945672016.742,5157858711401.861,-1061198336435.2808,699438144188.7246,151945999355.71655,513302050236.91785,1291293338936.632,-809202247938.2466,-735431757045.9253,1532553153493.3948,3778962156161.5933,1811544073347.1084,-1411527005346.9932,-1265801610319.5183,492626166208.03375,1174565902760.52,-20221147058.503788,-699788890668.5208,-2038777242948.7163,-500138003138.53064,1389066221186.763,1854229574630.4692,1590394096344.6113,-872348189136.5914,-4800796387886.947,4201557530457.591,6873856247024.986,2145362049453.9893,2732146160031.0137,4614963583712.841,6438188833212.054
-316678782476.39813,904251657920.8547,-694170156114.8263,-557996022791.8196,-54902017224.078514,756790150875.908,-682507828893.4503,53932826508.341644,173996670571.65375,-249531760594.61304,537241197551.63574,-129077174674.1322,-211175380366.66544,310991190638.51733,-264233465889.96677,541271197894.3671,-971073476977.0775,415513114762.05566,102186764233.26619,1083963567530.925,-696792707292.4587,382753507722.4227,639616826494.4717,-458264440613.271,339970267163.8115,-977791548319.501,156382823115.48642,-414895216314.1867,-629596485517.6774,-2167510792891.868,112614556345.4067,895152271520.4865,275140182595.8132,319014322075.2343,91226344710.82092,523671431815.9586,-513498587401.4818,-2147200439096.0156,-3968493601084.417,-2451559175152.2744,-657358923089.1235,1181908092191.1807,1358882838616.7424,512937695528.99084,178108381087.2601,-665467695389.2277,594507755865.0094,-241973907593.36768,-720469517967.712,-359894069845.3655,-508526112194.7072,-148829295124.03308,2985912609455.3984,4366589049662.73,1252903574674.0005,-536955176209.9752,-2475324232990.785,-3289708253766.177,-471207534022.3662,540935791694.40204
968945754958.2057,168779774370.94174,26355441726.26663,-209824063394.9837,285853990997.89557,866136301491.4166,-1062442276352.8666,-99605557906.12868,277833039956.0437,57731469094.88944,-398526070013.2987,209366383269.28085,-354635927319.84644,270860066410.70847,882212158532.7104,-528779958950.3653,-1052551392186.794,117112632548.67706,1925592755896.15,-749923479037.3828,579384795175.2366,768591222264.0035,125247281922.5924,-614060843415.7611,-568263224178.1199,1301392385721.2007,-802075314969.7506,673731243042.2032,492189128344.79236,-177766223750.57385,-110011659830.63486,50851143049.94275,674546532106.9155,162557070751.89917,-150000510596.3607,168569532029.44293,498567828957.10974,647625391073.884,266540454248.5946,943781396708.132,-314822165475.2797,90844619294.54182,-23888704803.335785,38156504875.16228,689814730360.3417,-1034067643738.0825,144154132515.07635,-29453779754.54194,174779865517.07843,322083490707.44293,141480075981.26035,509980105.99284554,1475789161007.6748,1444365565327.2937,-668922582882.1128,-1390551609349.1018,-3364619680155.706,-4578546968802.216,-3346249432025.3633,-3335212625951.408
414965175470.05896,347224573203.58887,40502493926.35104,-1115446031703.9836,1099438733538.6675,-89838259441.0214,-635078241768.8632,-344180622330.4821,360457308888.10785,-265804654992.58075,147917554401.51556,-182278857116.31235,505021210388.3022,-490857226597.8564,1100388336209.5457,-1476538074622.414,427922549495.6996,148812130461.47366,510902910016.7003,-679306879887.6146,9861785199.431284,1238941069768.6543,-14169043615.20367,-395229053401.3065,-411708486092.50903,1069395457924.1033,-557953562243.362,-39483987788.582054,249698731764.92868,700498887879.978,-256879349134.06662,95675644877.49545,-874493198372.5168,384783648640.7808,-313332411608.11475,650966602678.4834,-1745228634064.1663,434077643293.40234,-905049372486.6299,1101133467235.9983,425257492530.2573,201071531993.44678,354130311065.8571,-122293083327.9949,658722715066.8086,-551043793683.8688,-144279992189.08533,363181445035.7159,-80909824812.11432,606265003730.2197,462526810337.39484,48531314185.647865,-593140311935.5234,38038223914.813225,406575406208.354,-141939200310.6945,-1786840261901.2156,-2545785476072.1006,-261503697472.5288,606214086475.7134
-749721001847.5475,380088411125.9047,-146113410994.37964,-53249801799.1355,214615580178.9071,-377641244647.5683,-78884938557.80101,-142057504962.7797,108455932445.95705,134916770558.65765,-182996277516.1033,520099546584.63794,-317008927504.0455,-155542443356.09128,216452497418.41635,-120033436168.62909,-26742264949.39636,139131711804.77798,123231262899.29942,649533959702.659,-299577779265.48834,637144230796.5983,-265947957399.58,-497844037507.7013,595587770706.7081,-11561760788.45771,448724486074.1649,200357446670.93616,-611516726003.3976,575624178670.133,-661186733956.9269,1239441550286.9448,-40040602418.98649,635873171831.4645,-650419886874.0941,362915470272.7981,-787155638254.4261,393412587914.09155,-1591687139193.147,-374575297878.1363,-616455280328.6667,-139628416161.6945,-189296541289.94748,-204007205365.3562,103928905634.80806,176257308804.35278,-431168216613.8301,-176617308751.39917,-81557052707.15834,135169545071.97548,-728334114061.6693,-746406681316.4331,-680399389617.1976,-559098484960.6326,-677196500283.948,-720678485222.7979,-684994322862.445,-866616420664.5223,578880443958.8267,891602706584.0181
